Species	Conserved	Matched	LongMatched	Orphan	Complex	ncRNA	Intergenic	Fragment
Acep	0	8653	462	837	40	198	7331	2844
Ador	0	7978	460	1033	154	1514	4206	4315
Aech	0	8559	651	1247	143	1057	5822	4733
Aflo	0	6844	400	1290	107	1264	4602	7630
Amel	1973	6144	447	1421	183	2744	4193	5028
Bimp	0	8718	643	1113	119	669	3593	5873
Bter	1973	6140	551	627	111	752	3780	5506
Cbir	0	8395	493	2482	169	1620	3988	4659
Cflo	1973	6682	442	1661	106	688	4699	11100
Dmel	0	2867	61	10187	239	3289	3436	1849
Dqua	0	8442	619	1587	142	656	3779	14111
Hsal	1973	6819	471	1906	120	771	5048	9553
Lhum	0	8100	506	2042	131	1254	3856	3339
Mrot	0	7386	639	1848	283	1025	3119	6561
Nvit	1973	3571	222	6431	224	918	4429	6556
Pbar	0	7665	391	1771	111	1121	5238	4828
Pcan	1973	6362	387	910	91	785	3430	4224
Pdom	1973	6300	459	1152	107	1055	3969	1665
Sinv	0	8813	640	4492	131	794	5670	68297
Tcas	0	3686	127	7888	177	794	4456	2223
